batch_size,est_cache_mb_prompt_avg,est_cache_mb_total_avg,gpu_util_mean_percent,gpu_util_p95_percent,mean_throughput_tokens_per_s,p50_latency_s,p95_latency_s,runs
1,0.0703125,2.3203125,33.952564102564104,48.6,199.36597638381522,0.10374185099999522,0.6133341762001692,5
2,0.28125,4.78125,33.16157221819654,41.8,212.91437206129376,1.071852578999824,1.4327864269998827,5
4,0.84375,9.84375,37.381884057971014,41.0,444.27193820816734,1.1451794140002676,1.1853372144003516,5
