seq_len,run_idx,device,use_cache,prompt_tokens,new_tokens,total_time_s,latency_per_token_ms,tokens_per_sec,peak_mem_measured_mb,theo_cache_prompt_mb,theo_cache_total_mb
32,1,cuda,True,32,33,0.1779929929998616,5.393727060601867,185.40055675127425,176.55322265625,0.5625,2.8125
32,2,cuda,True,32,65,0.3179805899999337,4.892009076922057,204.4149927516442,177.11669921875,0.5625,2.8125
32,3,cuda,True,32,33,0.15991742000005615,4.845982424244125,206.35650575145854,176.55322265625,0.5625,2.8125
32,4,cuda,True,32,33,0.16051032399991527,4.863949212118645,205.59425199351924,176.55322265625,0.5625,2.8125
32,5,cuda,True,32,33,0.17673926999850664,5.355735454500202,186.71571971683957,176.55322265625,0.5625,2.8125
128,1,cuda,True,128,128,0.6183312770008342,4.8307131015690175,207.0087746828102,179.91650390625,2.25,4.5
128,2,cuda,True,128,1,0.006248362999031087,6.248362999031087,160.04191820402667,179.37841796875,2.25,4.5
128,3,cuda,True,128,128,0.6859171659998538,5.358727859373857,186.6114544799529,179.91650390625,2.25,4.5
128,4,cuda,True,128,49,0.23924934199931158,4.882639632639012,204.8072508393398,179.37841796875,2.25,4.5
128,5,cuda,True,128,128,0.6285972960013169,4.910916375010288,203.62798378905507,179.91650390625,2.25,4.5
256,1,cuda,True,256,128,0.6326047180009482,4.942224359382408,202.33804199956685,185.75927734375,4.5,6.75
256,2,cuda,True,256,128,0.6262816660000681,4.892825515625532,204.38088315359704,185.75927734375,4.5,6.75
256,3,cuda,True,256,128,0.6382627710008819,4.98642789844439,200.54436168864868,185.75927734375,4.5,6.75
256,4,cuda,True,256,128,0.6298491310008103,4.9206963359438305,203.2232699862776,185.75927734375,4.5,6.75
256,5,cuda,True,256,128,0.6245478920009191,4.87928040625718,204.94825399204396,185.75927734375,4.5,6.75
